id,degree,grnprice,grnmoney
768,high school,fairly willing,"yes, i have"
769,graduate,very willing,"yes, i have"
772,bachelor's,very unwilling,"no, i have not"
774,less than high school,fairly unwilling,"yes, i have"
778,high school,very unwilling,"yes, i have"
779,bachelor's,fairly willing,"no, i have not"
780,high school,neither willing nor unwilling,"yes, i have"
784,high school,fairly unwilling,"no, i have not"
785,bachelor's,fairly willing,"no, i have not"
788,graduate,fairly willing,"yes, i have"
795,high school,neither willing nor unwilling,"no, i have not"
796,bachelor's,fairly unwilling,"yes, i have"
797,graduate,fairly willing,"no, i have not"
799,bachelor's,neither willing nor unwilling,"no, i have not"
800,high school,very willing,"no, i have not"
801,bachelor's,very unwilling,"no, i have not"
803,high school,neither willing nor unwilling,"no, i have not"
804,bachelor's,fairly willing,"yes, i have"
805,bachelor's,neither willing nor unwilling,"no, i have not"
806,less than high school,neither willing nor unwilling,"no, i have not"
808,high school,neither willing nor unwilling,"no, i have not"
812,associate/junior college,neither willing nor unwilling,"no, i have not"
814,high school,fairly willing,"no, i have not"
815,bachelor's,neither willing nor unwilling,"no, i have not"
819,high school,neither willing nor unwilling,"no, i have not"
821,graduate,very willing,"yes, i have"
823,high school,neither willing nor unwilling,"no, i have not"
824,high school,neither willing nor unwilling,"no, i have not"
825,associate/junior college,fairly willing,"no, i have not"
827,high school,fairly willing,"no, i have not"
828,bachelor's,fairly willing,"no, i have not"
831,bachelor's,fairly unwilling,"no, i have not"
832,high school,fairly willing,"no, i have not"
833,high school,very unwilling,"no, i have not"
838,high school,neither willing nor unwilling,"no, i have not"
839,bachelor's,very unwilling,"no, i have not"
842,high school,fairly willing,"yes, i have"
843,bachelor's,fairly unwilling,"no, i have not"
849,high school,fairly unwilling,"no, i have not"
850,high school,very unwilling,"no, i have not"
853,high school,very willing,"yes, i have"
855,less than high school,neither willing nor unwilling,"no, i have not"
858,high school,very unwilling,"no, i have not"
859,high school,very unwilling,"no, i have not"
860,high school,very unwilling,"yes, i have"
861,high school,fairly willing,"no, i have not"
862,high school,neither willing nor unwilling,"no, i have not"
863,high school,very unwilling,"no, i have not"
866,high school,neither willing nor unwilling,"no, i have not"
871,associate/junior college,neither willing nor unwilling,"no, i have not"
873,graduate,very willing,"yes, i have"
874,high school,neither willing nor unwilling,"no, i have not"
880,associate/junior college,neither willing nor unwilling,"yes, i have"
881,graduate,fairly willing,"yes, i have"
882,graduate,fairly unwilling,"yes, i have"
884,graduate,fairly willing,"no, i have not"
892,bachelor's,fairly willing,"no, i have not"
895,high school,neither willing nor unwilling,"no, i have not"
896,graduate,fairly willing,"no, i have not"
898,graduate,fairly unwilling,"no, i have not"
902,high school,neither willing nor unwilling,"no, i have not"
904,graduate,fairly willing,"yes, i have"
905,high school,very willing,"no, i have not"
906,graduate,fairly willing,"no, i have not"
911,graduate,fairly unwilling,"no, i have not"
914,graduate,neither willing nor unwilling,"no, i have not"
916,graduate,neither willing nor unwilling,"no, i have not"
919,graduate,fairly willing,"yes, i have"
920,high school,fairly willing,"yes, i have"
921,graduate,very willing,"no, i have not"
924,less than high school,neither willing nor unwilling,"no, i have not"
926,high school,fairly willing,"no, i have not"
931,bachelor's,fairly willing,"no, i have not"
932,high school,very unwilling,"no, i have not"
934,high school,very willing,"no, i have not"
939,bachelor's,fairly willing,"yes, i have"
941,bachelor's,fairly unwilling,"no, i have not"
944,graduate,neither willing nor unwilling,"yes, i have"
946,graduate,neither willing nor unwilling,"no, i have not"
947,bachelor's,fairly willing,"yes, i have"
953,graduate,fairly unwilling,"yes, i have"
954,graduate,very willing,"yes, i have"
955,graduate,fairly willing,"no, i have not"
960,high school,neither willing nor unwilling,"no, i have not"
964,graduate,fairly willing,"no, i have not"
969,bachelor's,fairly willing,"no, i have not"
977,high school,fairly willing,"no, i have not"
982,graduate,neither willing nor unwilling,"no, i have not"
986,graduate,neither willing nor unwilling,"no, i have not"
988,bachelor's,fairly willing,"no, i have not"
991,graduate,very unwilling,"no, i have not"
992,high school,neither willing nor unwilling,"no, i have not"
993,bachelor's,neither willing nor unwilling,"yes, i have"
995,associate/junior college,neither willing nor unwilling,"yes, i have"
998,bachelor's,neither willing nor unwilling,"no, i have not"
999,bachelor's,fairly willing,"no, i have not"
1000,bachelor's,fairly unwilling,"no, i have not"
1007,less than high school,fairly willing,"no, i have not"
1008,high school,very unwilling,"no, i have not"
1011,high school,neither willing nor unwilling,"no, i have not"
1015,graduate,very unwilling,"no, i have not"
1018,bachelor's,fairly willing,"no, i have not"
1019,bachelor's,very willing,"no, i have not"
1023,bachelor's,neither willing nor unwilling,"yes, i have"
1028,less than high school,very willing,"no, i have not"
1029,high school,very willing,"no, i have not"
1030,high school,fairly willing,"no, i have not"
1039,associate/junior college,fairly willing,"yes, i have"
1043,high school,fairly willing,"no, i have not"
1044,graduate,fairly willing,"yes, i have"
1048,associate/junior college,fairly willing,"yes, i have"
1049,graduate,fairly unwilling,"no, i have not"
1050,high school,very unwilling,"no, i have not"
1052,high school,fairly willing,"yes, i have"
1055,bachelor's,fairly willing,"yes, i have"
1056,high school,fairly willing,"no, i have not"
1057,associate/junior college,fairly willing,"no, i have not"
1059,high school,neither willing nor unwilling,"no, i have not"
1061,bachelor's,fairly willing,"yes, i have"
1062,graduate,very willing,"yes, i have"
1065,graduate,fairly willing,"no, i have not"
1066,high school,neither willing nor unwilling,"no, i have not"
1068,bachelor's,fairly willing,"yes, i have"
1071,bachelor's,fairly unwilling,"no, i have not"
1072,high school,neither willing nor unwilling,"no, i have not"
1080,high school,very willing,"no, i have not"
1081,high school,fairly unwilling,"no, i have not"
1082,graduate,neither willing nor unwilling,"no, i have not"
1085,high school,fairly unwilling,"no, i have not"
1086,high school,neither willing nor unwilling,"no, i have not"
1087,high school,neither willing nor unwilling,"yes, i have"
1088,high school,neither willing nor unwilling,"no, i have not"
1090,associate/junior college,neither willing nor unwilling,"yes, i have"
1091,high school,fairly unwilling,"no, i have not"
1093,high school,fairly willing,"no, i have not"
1096,high school,neither willing nor unwilling,"no, i have not"
1100,high school,fairly willing,"no, i have not"
1102,graduate,neither willing nor unwilling,"no, i have not"
1106,high school,very unwilling,"no, i have not"
1107,high school,fairly unwilling,"no, i have not"
1108,high school,neither willing nor unwilling,"no, i have not"
1110,graduate,fairly willing,"yes, i have"
1115,graduate,fairly willing,"yes, i have"
1117,high school,fairly willing,"no, i have not"
1122,less than high school,very willing,"no, i have not"
1123,bachelor's,fairly willing,"yes, i have"
1128,bachelor's,fairly willing,"no, i have not"
1129,graduate,fairly willing,"yes, i have"
1130,graduate,fairly willing,"no, i have not"
1131,bachelor's,neither willing nor unwilling,"no, i have not"
1134,bachelor's,fairly willing,"yes, i have"
1135,graduate,very willing,"yes, i have"
1136,graduate,fairly willing,"no, i have not"
1138,bachelor's,fairly unwilling,"no, i have not"
